date,order_id,category_level_1,category_level_2,category_level_3,cost_centre,plant,plant_id,region,amount,unit_price,total,ai_result,description,supplier,supplier_country
2024-12-14,ORD-2024-04316-ZT,Direct,Hydraulic Systems,Hydraulic pump,CC-100-Production,Germany-South,PLANT-DE-S,Europe,1,4769.31,4769.31,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Bosch Rexroth AG"",""supplier_country"":""DE""}",High-performance hydraulic system components for industrial applications.,Bosch Rexroth AG,DE
2025-06-03,ORD-2025-08838-YX,Indirect,Safety & PPE,Hearing protection,CC-200-Maintenance,US-West Plant,PLANT-US-W,North America,48,3813.74,183059.52,"{""description"":""High-visibility safety vests and protective gloves for industrial use."",""supplier"":""3M"",""supplier_country"":""US""}",High-visibility safety vests and protective gloves for industrial use.,3M,US
2024-01-01,ORD-2024-05039-GG,Direct,Bearings & Seals,Spherical roller bearing,CC-100-Production,US-East Plant,PLANT-US-E,North America,47,4394.22,206528.34,"{""description"":""High-performance industrial bearings and seals for heavy machinery."",""supplier"":""Timken"",""supplier_country"":""US""}",High-performance industrial bearings and seals for heavy machinery.,Timken,US
2025-08-03,ORD-2025-02061-DM,Indirect,Facilities & Utilities,Facility landscaping,CC-200-Maintenance,US-East Plant,PLANT-US-E,North America,98,2665.87,261255.26,"{""description"":""Full-service facilities and utilities management for industrial plants."",""supplier"":""American Water Works"",""supplier_country"":""US""}",Full-service facilities and utilities management for industrial plants.,American Water Works,US
2025-07-16,ORD-2025-03296-SK,Direct,Fasteners,Threaded rod,CC-100-Production,Germany-South,PLANT-DE-S,Europe,28,4644.92,130057.76,"{""description"":""High-strength steel bolts and screws for industrial applications."",""supplier"":""Böllhoff GmbH"",""supplier_country"":""DE""}",High-strength steel bolts and screws for industrial applications.,Böllhoff GmbH,DE
2025-11-18,ORD-2025-05540-AO,Indirect,Security Services,Alarm monitoring,CC-800-Admin,US-East Plant,PLANT-US-E,North America,32,1127.36,36075.52,"{""description"":""24/7 security monitoring, patrol, and incident response for industrial facilities."",""supplier"":""ADT Security Services"",""supplier_country"":""US""}","24/7 security monitoring, patrol, and incident response for industrial facilities.",ADT Security Services,US
2025-08-25,ORD-2025-05414-BG,Direct,Components,Gearmotor,CC-100-Production,US-West Plant,PLANT-US-W,North America,9,4527.57,40748.13,"{""description"":""High-performance analog and digital integrated circuits for industrial applications."",""supplier"":""Texas Instruments"",""supplier_country"":""US""}",High-performance analog and digital integrated circuits for industrial applications.,Texas Instruments,US
2025-11-16,ORD-2025-03982-UU,Direct,Fasteners,High-tensile bolt,CC-100-Production,Brazil Plant,PLANT-BR,South America,74,2883.18,213355.32,"{""description"":""High-quality fasteners for industrial applications."",""supplier"":""Fastenal Brazil"",""supplier_country"":""BR""}",High-quality fasteners for industrial applications.,Fastenal Brazil,BR
2024-07-13,ORD-2024-00888-RZ,Direct,Hydraulic Systems,Hydraulic cylinder,CC-100-Production,Germany-South,PLANT-DE-S,Europe,53,2337.79,123902.87,"{""description"":""Advanced hydraulic system solutions for heavy machinery."",""supplier"":""Kohler GmbH"",""supplier_country"":""DE""}",Advanced hydraulic system solutions for heavy machinery.,Kohler GmbH,DE
2024-04-10,ORD-2024-07351-DE,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,US-West Plant,PLANT-US-W,North America,25,955.09,23877.25,"{""description"":""High-performance electrical assemblies for industrial automation and power distribution."",""supplier"":""ABB"",""supplier_country"":""US""}",High-performance electrical assemblies for industrial automation and power distribution.,ABB,US
2025-04-18,ORD-2025-08857-VZ,Direct,Components,Industrial fan,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,13,257.69,3349.97,"{""description"":""High-quality electronic components for industrial automation"",""supplier"":""Viet Nam Electronics Corporation"",""supplier_country"":""VN""}",High-quality electronic components for industrial automation,Viet Nam Electronics Corporation,VN
2024-08-30,ORD-2024-02698-JZ,Direct,Bearings & Seals,Deep groove ball bearing,CC-100-Production,US-West Plant,PLANT-US-W,North America,52,4512.7,234660.4,"{""description"":null,""supplier"":""SKF America"",""supplier_country"":""US,""}",null,SKF America,"US,"
2024-09-28,ORD-2024-09106-RM,Indirect,Security Services,Alarm monitoring,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,90,4786.8,430812.0,"{""description"":""Comprehensive security services for industrial facilities."",""supplier"":""Securitas AG"",""supplier_country"":""DE""}",Comprehensive security services for industrial facilities.,Securitas AG,DE
2024-07-13,ORD-2024-09572-MX,Direct,Raw Materials,Structural steel plate,CC-100-Production,Brazil Plant,PLANT-BR,South America,41,290.54,11912.14,"{""description"":""High-quality iron ore for steel production"",""supplier"":""Vale S.A."",""supplier_country"":""BR""}",High-quality iron ore for steel production,Vale S.A.,BR
2025-06-27,ORD-2025-03854-KY,Direct,Fasteners,High-tensile bolt,CC-100-Production,US-West Plant,PLANT-US-W,North America,9,2977.2,26794.8,"{""description"":""High-quality stainless steel bolts and nuts for industrial applications."",""supplier"":""Fastenal"",""supplier_country"":""US""}",High-quality stainless steel bolts and nuts for industrial applications.,Fastenal,US
2025-08-06,ORD-2025-09563-OI,Direct,Castings & Forgings,Gear blank,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,11,2099.03,23089.33,"{""description"":""High-quality castings and forgings for industrial applications."",""supplier"":""Viet Nam Forging & Casting Co., Ltd."",""supplier_country"":""VNM""}",High-quality castings and forgings for industrial applications.,"Viet Nam Forging & Casting Co., Ltd.",VNM
2024-09-24,ORD-2024-04916-LY,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,Germany-North,PLANT-DE-N,Europe,51,658.74,33595.74,"{""description"":""High-quality electrical assemblies for industrial automation and power distribution."",""supplier"":""Siemens AG"",""supplier_country"":""DE""}",High-quality electrical assemblies for industrial automation and power distribution.,Siemens AG,DE
2024-03-15,ORD-2024-08289-GY,Direct,Castings & Forgings,Tower flange,CC-100-Production,US-East Plant,PLANT-US-E,North America,10,2690.48,26904.8,"{""description"":""High-strength aluminum castings for aerospace and automotive applications."",""supplier"":""Alcoa Corporation"",""supplier_country"":""US""}",High-strength aluminum castings for aerospace and automotive applications.,Alcoa Corporation,US
2024-03-11,ORD-2024-04957-PZ,Indirect,Telecom & Connectivity,Internet service,CC-400-IT,US-West Plant,PLANT-US-W,North America,57,4169.56,237664.92,"{""description"":""Advanced wireless infrastructure for 5G deployments."",""supplier"":""Cisco Systems"",""supplier_country"":""US""}",Advanced wireless infrastructure for 5G deployments.,Cisco Systems,US
2025-10-31,ORD-2025-02201-GX,Direct,Fasteners,Locknut,CC-100-Production,Brazil Plant,PLANT-BR,South America,14,4694.96,65729.44,"{""description"":""High-quality fasteners for industrial applications."",""supplier"":""Fastenal Brazil"",""supplier_country"":""BR""}",High-quality fasteners for industrial applications.,Fastenal Brazil,BR
2025-07-20,ORD-2025-04326-NG,Direct,Blades & Hub Parts,Hub flange,CC-300-Engineering,US-West Plant,PLANT-US-W,North America,92,1717.69,158027.48,"{""description"":""High‑performance turbine blades and hub components"",""supplier"":""Baldor Electric"",""supplier_country"":""US""}",High‑performance turbine blades and hub components,Baldor Electric,US
2024-02-22,ORD-2024-02144-QG,Direct,Hydraulic Systems,Hydraulic cylinder,CC-100-Production,US-East Plant,PLANT-US-E,North America,1,1671.11,1671.11,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Parker Hannifin"",""supplier_country"":""US""}",High-performance hydraulic system components for industrial applications.,Parker Hannifin,US
2025-03-28,ORD-2025-02443-OV,Direct,Hydraulic Systems,Hydraulic filter,CC-100-Production,US-East Plant,PLANT-US-E,North America,15,380.84,5712.6,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Parker Hannifin"",""supplier_country"":""US""}",High-performance hydraulic system components for industrial applications.,Parker Hannifin,US
2025-08-19,ORD-2025-00654-XF,Direct,Hydraulic Systems,Hydraulic pump,CC-100-Production,US-East Plant,PLANT-US-E,North America,40,1826.43,73057.2,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Parker Hannifin"",""supplier_country"":""US""}",High-performance hydraulic system components for industrial applications.,Parker Hannifin,US
2024-09-12,ORD-2024-03879-WZ,Indirect,Telecom & Connectivity,VOIP subscription,CC-400-IT,Germany-South,PLANT-DE-S,Europe,80,3748.64,299891.2,"{""description"":""High-speed fiber optic connectivity solutions for enterprise networks"",""supplier"":""Deutsche Telekom AG"",""supplier_country"":""DE""}",High-speed fiber optic connectivity solutions for enterprise networks,Deutsche Telekom AG,DE
2024-06-30,ORD-2024-06746-UW,Indirect,"MRO (Maintenance, Repair, Operations)",Cleaning solvent,CC-200-Maintenance,Brazil Plant,PLANT-BR,South America,43,3913.02,168259.86,"{""description"":""High-quality maintenance supplies for industrial plants."",""supplier"":""MRO Brasil"",""supplier_country"":""BR""}",High-quality maintenance supplies for industrial plants.,MRO Brasil,BR
2024-09-11,ORD-2024-07542-JV,Direct,Components,Industrial fan,CC-100-Production,US-East Plant,PLANT-US-E,North America,61,1116.06,68079.66,"{""description"":""High-performance microcontroller components for industrial automation"",""supplier"":""Texas Instruments"",""supplier_country"":""US""}",High-performance microcontroller components for industrial automation,Texas Instruments,US
2024-08-21,ORD-2024-04574-JN,Direct,Packaging Materials,Stretch film,CC-700-Logistics,Germany-North,PLANT-DE-N,Europe,36,4322.44,155607.84,"{""description"":""Innovative carton packaging for beverage industry."",""supplier"":""Tetra Pak"",""supplier_country"":""SE""}",Innovative carton packaging for beverage industry.,Tetra Pak,SE
2025-11-26,ORD-2025-04280-EZ,Non-Procureable,Finance Charges,Loan interest,CC-800-Admin,US-East Plant,PLANT-US-E,North America,1,438642.17,438642.17,"{""description"":""Finance charge management and billing services for industrial plants"",""supplier"":""Wells Fargo"",""supplier_country"":""US""}",Finance charge management and billing services for industrial plants,Wells Fargo,US
2024-09-28,ORD-2024-07150-PN,Direct,Castings & Forgings,Housing casting,CC-100-Production,Germany-North,PLANT-DE-N,Europe,94,3933.21,369721.74,"{""description"":""High-quality forged metal components for automotive and industrial use."",""supplier"":""KraussMaffei"",""supplier_country"":""DE""}",High-quality forged metal components for automotive and industrial use.,KraussMaffei,DE
2025-01-29,ORD-2025-08519-YN,Indirect,Training & HR,Safety workshop,CC-600-HR,US-East Plant,PLANT-US-E,North America,91,2183.11,198663.01,"{""description"":""Comprehensive online learning platform for corporate training and employee development."",""supplier"":""Skillsoft"",""supplier_country"":""US""}",Comprehensive online learning platform for corporate training and employee development.,Skillsoft,US
2025-11-17,ORD-2025-02042-SH,Direct,Hydraulic Systems,Hydraulic pump,CC-100-Production,Brazil Plant,PLANT-BR,South America,43,3117.66,134059.38,"{""description"":""High-performance hydraulic pumps and valves for industrial applications"",""supplier"":""Sogefi"",""supplier_country"":""BR""}",High-performance hydraulic pumps and valves for industrial applications,Sogefi,BR
2024-11-12,ORD-2024-03144-KY,Indirect,Marketing & Advertising,Digital ad spend,CC-500-Sales,Brazil Plant,PLANT-BR,South America,38,2774.29,105423.02,"{""description"":""Creative digital marketing and brand strategy services."",""supplier"":""Alma Advertising"",""supplier_country"":""BR""}",Creative digital marketing and brand strategy services.,Alma Advertising,BR
2025-11-24,ORD-2025-04979-HL,Indirect,Office Supplies,Toner cartridge,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,71,4169.46,296031.66,"{""description"":""Premium office supplies for efficient workplace productivity."",""supplier"":""Staples Deutschland GmbH"",""supplier_country"":""DE""}",Premium office supplies for efficient workplace productivity.,Staples Deutschland GmbH,DE
2025-08-16,ORD-2025-08376-MX,Indirect,Marketing & Advertising,Digital ad spend,CC-500-Sales,Germany-South,PLANT-DE-S,Europe,57,3379.76,192646.32,"{""description"":""Digital marketing and creative advertising solutions for local businesses."",""supplier"":""Kreativwerk GmbH"",""supplier_country"":""DE""}",Digital marketing and creative advertising solutions for local businesses.,Kreativwerk GmbH,DE
2024-06-22,ORD-2024-05086-FF,Indirect,Safety & PPE,Nitrile gloves,CC-200-Maintenance,US-East Plant,PLANT-US-E,North America,97,1178.17,114282.49,"{""description"":""High-visibility safety vests and protective gear for industrial use."",""supplier"":""3M"",""supplier_country"":""US""}",High-visibility safety vests and protective gear for industrial use.,3M,US
2024-01-26,ORD-2024-09432-FS,Direct,Bearings & Seals,Oil seal,CC-100-Production,US-East Plant,PLANT-US-E,North America,59,2075.13,122432.67,"{""description"":""High-performance industrial bearings and seals for heavy machinery."",""supplier"":""Timken"",""supplier_country"":""US""}",High-performance industrial bearings and seals for heavy machinery.,Timken,US
2025-05-21,ORD-2025-01747-UF,Direct,Sub-Assemblies,Yaw module,CC-100-Production,Brazil Plant,PLANT-BR,South America,1,4463.84,4463.84,"{""description"":""High-quality aircraft sub-assemblies for regional jets."",""supplier"":""Embraer"",""supplier_country"":""BR""}",High-quality aircraft sub-assemblies for regional jets.,Embraer,BR
2025-12-13,ORD-2025-07613-RZ,Direct,Raw Materials,Aluminum ingot,CC-100-Production,US-East Plant,PLANT-US-E,North America,59,671.03,39590.77,"{""description"":""High-quality raw agricultural commodities for industrial processing"",""supplier"":""Cargill"",""supplier_country"":""US""}",High-quality raw agricultural commodities for industrial processing,Cargill,US
2025-09-01,ORD-2025-08977-LE,Direct,Bearings & Seals,Oil seal,CC-100-Production,Brazil Plant,PLANT-BR,South America,65,2136.57,138877.05,"{""description"":""High-performance industrial bearings and seals for heavy machinery."",""supplier"":""SKF Brazil"",""supplier_country"":""BR""}",High-performance industrial bearings and seals for heavy machinery.,SKF Brazil,BR
2025-05-01,ORD-2025-07940-QH,Direct,Packaging Materials,Export crate,CC-700-Logistics,Germany-North,PLANT-DE-N,Europe,99,3889.49,385059.51,"{""description"":""High-quality recyclable cardboard packaging solutions for industrial use."",""supplier"":""Sappi"",""supplier_country"":""DE""}",High-quality recyclable cardboard packaging solutions for industrial use.,Sappi,DE
2024-03-20,ORD-2024-01321-DG,Indirect,Travel & Entertainment,Taxi/ride share,CC-800-Admin,Germany-North,PLANT-DE-N,Europe,41,4465.67,183092.47,"{""description"":""Comprehensive travel and entertainment services for corporate events."",""supplier"":""TUI AG"",""supplier_country"":""DE""}",Comprehensive travel and entertainment services for corporate events.,TUI AG,DE
2025-12-11,ORD-2025-07634-KF,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Germany-South,PLANT-DE-S,Europe,53,1657.75,87860.75,"{""description"":""High-quality recyclable packaging solutions for food and beverage industries."",""supplier"":""Tetra Pak GmbH"",""supplier_country"":""DE""}",High-quality recyclable packaging solutions for food and beverage industries.,Tetra Pak GmbH,DE
2025-03-06,ORD-2025-07815-AJ,Direct,Castings & Forgings,Tower flange,CC-100-Production,US-East Plant,PLANT-US-E,North America,98,2880.57,282295.86,"{""description"":""High-strength aluminum castings for aerospace and automotive applications."",""supplier"":""Alcoa Corporation"",""supplier_country"":""US""}",High-strength aluminum castings for aerospace and automotive applications.,Alcoa Corporation,US
2025-02-03,ORD-2025-09884-XM,Indirect,Cleaning & Janitorial,Waste bin liners,CC-800-Admin,Brazil Plant,PLANT-BR,South America,95,2732.93,259628.35,"{""description"":""Professional cleaning and janitorial services for industrial facilities."",""supplier"":""Limpeza Industrial Ltda."",""supplier_country"":""BR""}",Professional cleaning and janitorial services for industrial facilities.,Limpeza Industrial Ltda.,BR
2024-10-06,ORD-2024-06625-SV,Direct,Raw Materials,Copper wire,CC-100-Production,Germany-North,PLANT-DE-N,Europe,86,3397.31,292168.66,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""BASF SE"",""supplier_country"":""DE""}",High-quality raw materials for industrial manufacturing.,BASF SE,DE
2024-05-10,ORD-2024-00445-CL,Non-Procureable,Payroll,Management salaries,CC-600-HR,Vietnam Plant,PLANT-VN,Asia,1,282631.6,282631.6,"{""description"":""Payroll processing and compliance for Vietnam operations."",""supplier"":""Công ty TNHH Tư vấn Tài chính và Kế toán Tân Việt"",""supplier_country"":""VN""}",Payroll processing and compliance for Vietnam operations.,Công ty TNHH Tư vấn Tài chính và Kế toán Tân Việt,VN
2025-04-17,ORD-2025-05530-TJ,Direct,Blades & Hub Parts,Pitch bearing,CC-300-Engineering,Germany-North,PLANT-DE-N,Europe,28,2276.22,63734.16,"{""description"":""High-performance blades and hub components for automotive and industrial applications."",""supplier"":""Schaeffler AG"",""supplier_country"":""DE""}",High-performance blades and hub components for automotive and industrial applications.,Schaeffler AG,DE
2025-03-07,ORD-2025-05734-FB,Direct,Components,Industrial fan,CC-100-Production,US-East Plant,PLANT-US-E,North America,96,2699.4,259142.4,"{""description"":""High-performance microcontroller components for industrial automation"",""supplier"":""Texas Instruments"",""supplier_country"":""US""}",High-performance microcontroller components for industrial automation,Texas Instruments,US
2025-10-29,ORD-2025-03909-DR,Direct,Raw Materials,Aluminum ingot,CC-100-Production,US-West Plant,PLANT-US-W,North America,3,3108.57,9325.71,"{""description"":""High-quality bulk raw materials for industrial use."",""supplier"":""Cargill"",""supplier_country"":""US""}",High-quality bulk raw materials for industrial use.,Cargill,US
2025-07-31,ORD-2025-01877-UE,Indirect,Security Services,Alarm monitoring,CC-800-Admin,Germany-North,PLANT-DE-N,Europe,22,3031.43,66691.46,"{""description"":""Comprehensive security services for industrial facilities."",""supplier"":""Securitas AG"",""supplier_country"":""DE""}",Comprehensive security services for industrial facilities.,Securitas AG,DE
2024-11-14,ORD-2024-06150-KS,Direct,Raw Materials,Epoxy resin,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,87,4540.59,395031.33,"{""description"":""High-quality phosphate rock for fertilizer production"",""supplier"":""Vietnam Phosphate Group"",""supplier_country"":""VN""}",High-quality phosphate rock for fertilizer production,Vietnam Phosphate Group,VN
2024-03-18,ORD-2024-09838-UU,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Brazil Plant,PLANT-BR,South America,99,1511.41,149629.59,"{""description"":""High-quality recyclable packaging materials for food and beverage industry."",""supplier"":""Tetra Pak Brazil S.A."",""supplier_country"":""BR""}",High-quality recyclable packaging materials for food and beverage industry.,Tetra Pak Brazil S.A.,BR
2025-08-02,ORD-2025-08290-QA,Indirect,Telecom & Connectivity,VOIP subscription,CC-400-IT,Germany-South,PLANT-DE-S,Europe,85,1856.0,157760.0,"{""description"":""High-speed fiber optic connectivity solutions for enterprise networks"",""supplier"":""Deutsche Telekom AG"",""supplier_country"":""DE""}",High-speed fiber optic connectivity solutions for enterprise networks,Deutsche Telekom AG,DE
2025-03-06,ORD-2025-07533-SL,Indirect,Logistics & Freight,Container rental,CC-700-Logistics,Germany-North,PLANT-DE-N,Europe,82,4458.42,365590.44,"{""description"":""Reliable logistics and freight services for European distribution."",""supplier"":""DB Schenker"",""supplier_country"":""DE""}",Reliable logistics and freight services for European distribution.,DB Schenker,DE
2025-06-18,ORD-2025-07617-LT,Non-Procureable,Finance Charges,Late payment penalty,CC-800-Admin,Vietnam Plant,PLANT-VN,Asia,1,387546.08,387546.08,"{""description"":""Finance charge management and advisory services for plant operations."",""supplier"":""Vietcombank"",""supplier_country"":""VN""}",Finance charge management and advisory services for plant operations.,Vietcombank,VN
2024-10-01,ORD-2024-07614-OR,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Germany-North,PLANT-DE-N,Europe,58,1223.1,70939.8,"{""description"":""Innovative carton packaging solutions for dairy and beverage sectors."",""supplier"":""Tetra Pak"",""supplier_country"":""SE""}",Innovative carton packaging solutions for dairy and beverage sectors.,Tetra Pak,SE
2024-12-10,ORD-2024-04233-IW,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,Germany-South,PLANT-DE-S,Europe,28,1777.35,49765.8,"{""description"":""High-quality electrical assemblies for industrial automation."",""supplier"":""Siemens AG"",""supplier_country"":""DE""}",High-quality electrical assemblies for industrial automation.,Siemens AG,DE
2025-12-19,ORD-2025-06659-MT,Indirect,Events & Conferences,Conference registration,CC-500-Sales,Vietnam Plant,PLANT-VN,Asia,25,432.64,10816.0,"{""description"":""Comprehensive event planning and conference solutions"",""supplier"":""Vietnam Event Management Co., Ltd."",""supplier_country"":""VN""}",Comprehensive event planning and conference solutions,"Vietnam Event Management Co., Ltd.",VN
2025-12-08,ORD-2025-06626-RH,Direct,Bearings & Seals,Deep groove ball bearing,CC-100-Production,US-East Plant,PLANT-US-E,North America,12,1474.71,17696.52,"{""description"":""High-performance ball bearings and sealing solutions for industrial machinery."",""supplier"":""SKF America Inc."",""supplier_country"":""US""}",High-performance ball bearings and sealing solutions for industrial machinery.,SKF America Inc.,US
2025-08-18,ORD-2025-09018-IS,Direct,Fasteners,Threaded rod,CC-100-Production,Germany-North,PLANT-DE-N,Europe,55,4983.17,274074.35,"{""description"":""Precision fasteners for automotive and machinery use."",""supplier"":""Würth GmbH"",""supplier_country"":""DE""}",Precision fasteners for automotive and machinery use.,Würth GmbH,DE
2024-10-04,ORD-2024-08780-YR,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Brazil Plant,PLANT-BR,South America,25,1581.16,39529.0,"{""description"":""Durable corrugated cardboard packaging for shipping"",""supplier"":""Papelaria Brasil Packaging Ltda"",""supplier_country"":""BR""}",Durable corrugated cardboard packaging for shipping,Papelaria Brasil Packaging Ltda,BR
2024-07-15,ORD-2024-08596-PZ,Direct,Bearings & Seals,Deep groove ball bearing,CC-100-Production,Brazil Plant,PLANT-BR,South America,76,4883.15,371119.4,"{""description"":""High-performance ball bearings and industrial seals for automotive and aerospace applications."",""supplier"":""SKF Brazil"",""supplier_country"":""BR""}",High-performance ball bearings and industrial seals for automotive and aerospace applications.,SKF Brazil,BR
2024-07-17,ORD-2024-02074-HZ,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,Germany-North,PLANT-DE-N,Europe,2,3541.55,7083.1,"{""description"":""High-quality electrical assemblies for industrial automation and power distribution."",""supplier"":""Siemens AG"",""supplier_country"":""DE""}",High-quality electrical assemblies for industrial automation and power distribution.,Siemens AG,DE
2025-07-20,ORD-2025-09406-HM,Direct,Sub-Assemblies,Yaw module,CC-100-Production,Germany-South,PLANT-DE-S,Europe,14,4364.24,61099.36,"{""description"":""High-precision automotive sub-assemblies for powertrain and chassis systems."",""supplier"":""ZF Friedrichshafen AG"",""supplier_country"":""DE""}",High-precision automotive sub-assemblies for powertrain and chassis systems.,ZF Friedrichshafen AG,DE
2024-12-14,ORD-2024-06566-MP,Direct,Raw Materials,Epoxy resin,CC-100-Production,Germany-South,PLANT-DE-S,Europe,15,4111.47,61672.05,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""BASF SE"",""supplier_country"":""DE""}",High-quality raw materials for industrial manufacturing.,BASF SE,DE
2025-12-03,ORD-2025-01941-OK,Direct,Sub-Assemblies,Yaw module,CC-100-Production,Germany-North,PLANT-DE-N,Europe,11,4969.62,54665.82,"{""description"":""High-precision automotive sub-assemblies for powertrain systems."",""supplier"":""ZF Friedrichshafen AG"",""supplier_country"":""DE""}",High-precision automotive sub-assemblies for powertrain systems.,ZF Friedrichshafen AG,DE
2025-09-02,ORD-2025-09643-ZH,Indirect,Travel & Entertainment,Group meal,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,57,1490.28,84945.96,"{""description"":""Premium corporate travel and event management services"",""supplier"":""TUI AG"",""supplier_country"":""DE""}",Premium corporate travel and event management services,TUI AG,DE
2025-09-27,ORD-2025-01331-EE,Direct,Components,Control PCB,CC-100-Production,Brazil Plant,PLANT-BR,South America,28,1326.91,37153.48,"{""description"":""High-quality electronic components for industrial automation"",""supplier"":""TE Connectivity Brazil"",""supplier_country"":""BR""}",High-quality electronic components for industrial automation,TE Connectivity Brazil,BR
